
ModelBox: 512 models
-> -0.553318500403848*x**3 + 9.89597458601208 - 9.925275161075*exp(-0.0750320989030553*x), p = 7.792874475308977e-05, parse trees = 10, valid = True, error = 0.0010073192932556502, time = 283.0054142475128
-> 0.534807602021899*sqrt(x) - 9.98891017255702 + 9.88013699122874*exp(-0.0310693690415063*x**5), p = 9.05969664e-07, parse trees = 1, valid = True, error = 0.0010104953698838784, time = 394.30359864234924
-> 9.9666953862605*exp(-0.0572913603751498*x**3) - 9.99628325901249*exp(-0.0749462163638056*x), p = 3.93216e-05, parse trees = 1, valid = True, error = 0.0010529593589230387, time = 322.3327462673187
-> -1.06216478897534 + 9.88789305593087*exp(-0.057554001692351*x**3) - 8.85552351265978*exp(-0.0848114822334843*x), p = 1.3867295126323202e-05, parse trees = 5, valid = True, error = 0.0010550541695370334, time = 853.0827333927155
-> -0.553178736308324*x**3 + 0.66768945509848 - 0.587443482991831*exp(-3.92763889185111*x**3), p = 1.3045963161600006e-07, parse trees = 1, valid = True, error = 0.001071345900221149, time = 159.47774291038513
-> -2.20141437549688*x**2 + 2.35403002449214*sqrt(x**3) - 0.0127525591331521, p = 4.308052450738176e-05, parse trees = 6, valid = True, error = 0.0011007613074871137, time = 83.3076388835907
-> -0.517556395488665*x**3 + 8.13074283101616*x - 7.47325615892959*sqrt(x**2), p = 4.076863488e-06, parse trees = 1, valid = True, error = 0.0011066612955702479, time = 134.9625222682953
-> -0.517608319642316*x**3 + 0.657521569570718*x, p = 0.0017374572969984002, parse trees = 6, valid = True, error = 0.0011066614295296578, time = 6.810508966445923
-> -0.517219955212423*x**3 + 0.657245656680999*sqrt(x**2), p = 7.077888e-05, parse trees = 1, valid = True, error = 0.0011066645147193108, time = 28.72060751914978
-> -2.09798935031467*x**2 + 2.24064512717311*sqrt(x**3), p = 0.00014155776000000003, parse trees = 2, valid = True, error = 0.001125531381620125, time = 29.5085391998291
-> -0.798112565342727*sqrt(x) - 1.30099613199183*x**2 + 2.16023553692447*x + 0.0799626226675788, p = 4.2344438501165374e-06, parse trees = 8, valid = True, error = 0.0012196449713427618, time = 256.29260182380676
-> -1.00490450874236*x**2 + 1.14470957154716*x - 0.0707362648070556*exp(-9.99706937117506*x**6), p = 2.6091926323200006e-07, parse trees = 1, valid = True, error = 0.0012297231879973456, time = 92.79496121406555
-> 0.848394227717073*x - 0.665274578059926*sqrt(x**5) - 0.0392766290611375, p = 4.081038196211712e-06, parse trees = 2, valid = True, error = 0.0012520055614884556, time = 57.24304127693176
-> 0.846229694674016*sqrt(x**2) - 0.663541374580063*sqrt(x**5) - 0.038664374404278, p = 3.6238786560000007e-07, parse trees = 1, valid = True, error = 0.00125203401439163, time = 285.9114742279053
-> -0.392364866182758*sqrt(x) - 1.11151934003104*x**2 + 1.64986110119061*x, p = 2.6948067655680002e-05, parse trees = 2, valid = True, error = 0.0013346684394779133, time = 86.22472834587097
-> 0.564183344882209*sqrt(x) - 0.309663712670277*x**4 - 0.118184409381758, p = 1.0276696561287167e-05, parse trees = 3, valid = True, error = 0.001346016817288701, time = 62.62100791931152
-> -1.43783825473244*x**4 + 0.0749274067124666*exp(3.04305870702978*x), p = 0.000142463729664, parse trees = 3, valid = True, error = 0.0013552212122974901, time = 41.84082889556885
-> -0.515427041338684*x**2 + 0.640051085441203 - 0.558683425640945*exp(-6.15419152424056*x**3), p = 4.3268386376908807e-05, parse trees = 6, valid = True, error = 0.0013601903893910273, time = 100.00470638275146
-> 0.563185570167725*sqrt(x) - 9.98579969994238 + 9.86827461013027*exp(-0.0317068550836644*x**4), p = 3.2614907904000016e-07, parse trees = 1, valid = True, error = 0.0013673303082774718, time = 395.56777691841125
-> -1.16649177951233*x**4 + 1.24995456504715*x**2, p = 0.000254803968, parse trees = 2, valid = True, error = 0.0014129139757659331, time = 6.087162733078003
-> 0.727951319129839*x - 0.576197067699153*sqrt(x**5), p = 2.8311552000000004e-05, parse trees = 1, valid = True, error = 0.0014452764122377822, time = 25.249711751937866
-> -0.863827251805853*x**2 + 1.01839696523695*x - 0.0545443699385561*exp(-2.90788035820039*x**2), p = 2.038431744e-05, parse trees = 2, valid = True, error = 0.0015026856570754135, time = 76.53522205352783
-> -0.750372365159939*sqrt(x**2) + 0.905173902828556 - 0.818553332182632*exp(-4.63883429807569*x**2), p = 1.3398284697600003e-05, parse trees = 4, valid = True, error = 0.001527563194166059, time = 277.0269355773926
-> -0.751633275848444*x + 0.903483923878648*exp(0.00343434646817961*x) - 0.816759823003913*exp(-4.63962930026623*x**2), p = 1.69869312e-05, parse trees = 3, valid = True, error = 0.001527642211174851, time = 343.1483759880066
-> 0.358318030030519*sqrt(x) - 0.23359801855282*x**6, p = 1.1324620800000004e-05, parse trees = 1, valid = True, error = 0.0015916720756548339, time = 27.17825937271118
