t,x,y,z,dx,dy,dz
12.21,7.35207927126893,5.941803743139485,27.510216886000705,-14.086746843962716,-2.354718062692518,-29.63606453866028
12.22,7.217085277080307,5.928934421903479,27.212755793960707,-12.868385229109203,-0.2619954158039839,-29.740518148545902
12.23,7.094711566686746,5.9365638348234055,26.915406523029787,-11.57101757797605,1.7433320384812045,-29.62150477716552
12.24,6.985664925520786,5.963801062673103,26.620325698417396,-10.21059855188411,3.659244557814745,-29.293973548299235
12.25,6.890499595649064,6.0097487259797004,26.329527052063803,-8.801635349523629,5.486115747939069,-28.77144607309443
12.26,6.8096322185303135,6.073523377631885,26.044896776955508,-7.357131230553282,7.226026423398935,-28.065856363899933
12.27,6.743356971037998,6.154269254447679,25.768209924785804,-5.888597373682103,8.882128804860834,-27.187491158447763
12.280000000000001,6.6918602710566715,6.251165953729101,25.501146953786552,-4.406121279917086,10.4580702050725,-26.14500994495792
12.290000000000001,6.655234545439656,6.363430658549129,25.245309725886646,-2.9184804806487996,11.957479478826372,-24.945527276851465
12.3,6.6334906614436955,6.490315543305629,25.002236408249523,-1.4332912834234879,13.38351533815767,-23.59474371246577
